Date,SpreadReturn
2021-12-06,1.016987698690429
2021-12-07,0.03350723706695846
2021-12-08,-0.3335865509171416
2021-12-09,0.38834517090210585
2021-12-10,-1.7922274507127856
2021-12-13,-0.16791202497429247
2021-12-14,1.1055179782410602
2021-12-15,-2.233537744753662
2021-12-16,1.6485667686052854
2021-12-17,0.827681908475046
2021-12-20,1.698038733392337
2021-12-21,-0.3393217686846961
2021-12-22,0.6748223594307852
2021-12-23,-0.4495026109937208
2021-12-24,0.2455020150671703
2021-12-27,4.5452593035583
2021-12-28,-0.23758236682912434
2021-12-29,-1.2274452579929425
2021-12-30,-5.080841891650845
2022-01-04,-1.9838170874104666
2022-01-05,0.34578734172131564
2022-01-06,-1.4557211922067737
2022-01-07,1.1029934382378084
2022-01-11,-3.03845007985343
2022-01-12,-1.2928220371753891
2022-01-13,-1.1048748886807909
2022-01-14,1.5497376808521204
2022-01-17,-0.8459557127197517
2022-01-18,1.74704518164819
2022-01-19,-0.024323769478399093
2022-01-20,-0.9951202361367738
2022-01-21,-2.7393408458748842
2022-01-24,1.9743777048218731
2022-01-25,-4.675825053656037
2022-01-26,-1.3918984224346151
2022-01-27,3.1309446706469135
2022-01-28,2.1799863986085763
2022-01-31,3.124931454873283
2022-02-01,-6.695475380514595
2022-02-02,-0.4876596939369089
2022-02-03,-4.037958687507763
2022-02-04,-2.890740710606871
2022-02-07,2.8018331459401113
2022-02-08,2.911179870512013
2022-02-09,-6.907623881712102
2022-02-10,-0.9387402569989767
2022-02-14,-1.3238154001446292
2022-02-15,-2.776295613143269
2022-02-16,0.5315541331558298
2022-02-17,-1.3975777405359524
2022-02-18,0.0262474641721413
2022-02-21,-2.7497340163798
2022-02-22,10.280575079601507
2022-02-24,1.094850692714536
2022-02-25,7.34468161246556
2022-02-28,0.42997640826266137
2022-03-01,-3.3786596459296296
2022-03-02,-3.428934579993682
2022-03-03,-1.33940441172434
2022-03-04,2.7843630450274364
2022-03-07,-2.140925487423223
2022-03-08,1.1200175999801054
2022-03-09,-3.2161195521628465
2022-03-10,-1.275499995023638
2022-03-11,-0.00660989379710597
2022-03-14,1.1716008551004686
2022-03-15,3.6824272382834256
2022-03-16,3.2187641113844077
2022-03-17,-3.0833651821272685
2022-03-18,2.2467803989194235
2022-03-22,1.2327731856922344
2022-03-23,0.1651008214519887
2022-03-24,-2.1831580171891583
2022-03-25,2.9940711544343355
2022-03-28,12.265921478997818
2022-03-29,0.05540756133090152
2022-03-30,0.1774580678281988
2022-03-31,1.9555324549558368
2022-04-01,2.708790286657561
2022-04-04,0.300147313263909
2022-04-05,-2.5928954706040175
2022-04-06,2.132297699324432
2022-04-07,-3.98834230728563
2022-04-08,-1.0369424624904298
2022-04-11,3.5616689825279226
2022-04-12,-1.932817290039945
2022-04-13,-1.3193140245543846
2022-04-14,-0.5410000186319774
2022-04-15,-1.8714637603173772
2022-04-18,-3.3695153276209044
2022-04-19,-1.017133969298902
2022-04-20,-2.5003004066362897
2022-04-21,0.28139871754619783
2022-04-22,3.61263621998814
2022-04-25,0.16875972538069073
2022-04-26,-3.081281570108784
2022-04-27,-1.5082634703886444
2022-04-28,-3.055383109104003
2022-05-02,-1.338843582895946
2022-05-06,0.9198682884007403
2022-05-09,1.2857994626811062
2022-05-10,-3.7764541072814204
2022-05-11,0.4068505085653227
2022-05-12,2.545179281722552
2022-05-13,-0.6407786205419078
2022-05-16,1.0411779302184117
2022-05-17,-1.80749007837844
2022-05-18,1.8561935088018284
2022-05-19,2.806806320157113
2022-05-20,-2.6632418056583247
2022-05-23,-2.028990651414831
2022-05-24,0.8742655753881851
2022-05-25,-1.3486406277387382
2022-05-26,4.21604203754101
2022-05-27,-1.5125903876569997
2022-05-30,-1.7055677803930067
2022-05-31,-2.6397654205772496
2022-06-01,1.9937421437802874
2022-06-02,-0.3972410737614247
2022-06-03,-3.0383454054226124
2022-06-06,1.8718570148984077
2022-06-07,3.3796542508938145
2022-06-08,-1.6286440240152391
2022-06-09,-3.390268180068722
2022-06-10,0.2640921220494372
2022-06-13,-0.11374209323437556
2022-06-14,-2.6175828967795693
2022-06-15,-0.9527065199568674
2022-06-16,1.0779218366415138
2022-06-17,2.067117882033246
2022-06-20,0.07592068165260524
2022-06-21,2.4221422933026377
2022-06-22,5.388374415241643
2022-06-23,0.002147965455547851
2022-06-24,-1.0026068593417035
