Date,GrossReturn,GrossExposure,NetExposure,Names,LongReturn,ShortReturn,Turnover,Period,Model,CostBps,TradingCost,NetReturn,Equity,Drawdown
2017-01-04,0.005076962273726978,1.0,-4.336808689942018e-19,400,0.003189470930832142,0.0018874913428948352,0.0,Training (in-sample),reference,0.0,0.0,0.005076962273726978,1.005076962273727,0.0
2017-01-05,0.006676009269371605,1.0,-2.168404344971009e-18,400,0.004200792870613307,0.0024752163987582974,0.4111306532663317,Training (in-sample),reference,0.0,0.0,0.006676009269371605,1.0117868653902984,0.0
2017-01-06,0.002351220171427568,1.0,0.0,400,0.0010899418178649254,0.0012612783535626427,0.37411222780569514,Training (in-sample),reference,0.0,0.0,0.002351220171427568,1.0141657990773896,0.0
2017-01-10,0.003483936660500988,1.0,8.673617379884035e-19,400,-0.0020342844218915863,0.005518221082392575,0.34224455611390286,Training (in-sample),reference,0.0,0.0,0.003483936660500988,1.0176990884846215,0.0
2017-01-11,0.0022983667119137042,1.0,1.3010426069826053e-18,400,0.0040740811655300465,-0.0017757144536163425,0.3205611390284757,Training (in-sample),reference,0.0,0.0,0.0022983667119137042,1.0200381341923395,0.0
2017-01-12,0.0064123138311097914,1.0,4.336808689942018e-19,400,-0.00018813439139139814,0.006600448222501189,0.25999162479061977,Training (in-sample),reference,0.0,0.0,0.0064123138311097914,1.0265789388284805,0.0
2017-01-13,0.006489946923568847,0.9999999999999999,-1.3010426069826053e-18,400,-0.002193197208056184,0.00868314413162503,0.26938860971524287,Training (in-sample),reference,0.0,0.0,0.006489946923568847,1.0332413816543309,0.0
2017-01-16,0.0006455194591478939,1.0,4.336808689942018e-19,400,0.0017116165013719717,-0.001066097042224078,0.2386683417085427,Training (in-sample),reference,0.0,0.0,0.0006455194591478939,1.0339083590721856,0.0
2017-01-17,0.00045464523572086665,1.0,4.336808689942018e-19,400,0.0029286695989124583,-0.0024740243631915914,0.20976549413735343,Training (in-sample),reference,0.0,0.0,0.00045464523572086665,1.0343784205818096,0.0
2017-01-18,0.0030767033422711924,1.0,-4.336808689942018e-19,400,0.0025894168636665456,0.0004872864786046465,0.23117252931323282,Training (in-sample),reference,0.0,0.0,0.0030767033422711924,1.0375608961255869,0.0
2017-01-19,0.010703030170443821,1.0,0.0,400,0.006335158706624327,0.004367871463819493,0.24913735343383583,Training (in-sample),reference,0.0,0.0,0.010703030170443821,1.0486659417004918,0.0
2017-01-20,0.0069938827001588405,1.0,4.336808689942018e-19,400,0.003983708491102186,0.003010174209056655,0.24809045226130652,Training (in-sample),reference,0.0,0.0,0.0069938827001588405,1.0560001882883965,0.0
2017-01-23,0.007200941368828723,1.0,8.673617379884035e-19,400,0.010616073609297758,-0.0034151322404690344,0.23793969849246233,Training (in-sample),reference,0.0,0.0,0.007200941368828723,1.0636043837297333,0.0
2017-01-24,0.003376665618192697,1.0,1.734723475976807e-18,400,0.007071714489900339,-0.0036950488717076417,0.2459212730318258,Training (in-sample),reference,0.0,0.0,0.003376665618192697,1.0671958200836325,0.0
2017-01-25,0.003662195815986569,1.0,4.336808689942018e-19,400,0.0040373558347472725,-0.0003751600187607035,0.28571189279731996,Training (in-sample),reference,0.0,0.0,0.003662195815986569,1.071104100150781,0.0
2017-01-26,0.007416548062628591,1.0,-1.3010426069826053e-18,400,0.0077323502565163444,-0.0003158021938877534,0.3026549413735343,Training (in-sample),reference,0.0,0.0,0.007416548062628591,1.0790479951896277,0.0
2017-01-27,0.006820608598558322,1.0,6.505213034913027e-19,400,-0.00048537963903300753,0.00730598823759133,0.22471524288107203,Training (in-sample),reference,0.0,0.0,0.006820608598558322,1.0864077592238752,0.0
2017-01-30,0.0037633462738275057,1.0,-1.5178830414797062e-18,400,0.003739925759607679,2.3420514219826445e-05,0.24585427135678392,Training (in-sample),reference,0.0,0.0,0.0037633462738275057,1.0904962878164077,0.0
2017-01-31,0.0057511482456934025,1.0,-8.673617379884035e-19,400,-0.001185707618763346,0.006936855864456749,0.24006700167504189,Training (in-sample),reference,0.0,0.0,0.0057511482456934025,1.0967678936290182,0.0
2017-02-01,0.0015612524426069547,1.0,4.336808689942018e-19,400,0.0006480295289285515,0.0009132229136784032,0.2285427135678392,Training (in-sample),reference,0.0,0.0,0.0015612524426069547,1.0984802251819195,0.0
