period,model,cost_bps,start_date,end_date,trading_days,total_return,annualized_return,annualized_arithmetic_return,annualized_volatility,sharpe,max_drawdown,hit_rate,average_daily_turnover,average_daily_half_turnover,average_daily_traded_notional,average_rebalance_half_turnover,average_rebalance_traded_notional,annualized_cost_drag,average_gross_exposure,average_net_exposure,average_names,ending_equity
Training (in-sample),reference,0.0,2017-01-04,2021-12-03,1202,409.75307500462765,2.531333559297466,1.2669644257940036,0.06562398023785194,19.306424590552616,-0.008810347985301226,0.9525790349417638,0.3737800761990763,0.3737800761990763,0.7475601523981527,0.373674980508984,0.747349961017968,0.0,1.0,4.5099923980262245e-21,400.0,410.75307500462765
Training (in-sample),reference,5.0,2017-01-04,2021-12-03,1202,261.71550664714437,2.215485737685709,1.1727718465918364,0.06494601725530942,18.057640732326213,-0.00955215871300974,0.937603993344426,0.3737800761990763,0.3737800761990763,0.7475601523981527,0.373674980508984,0.747349961017968,0.09419257920216725,1.0,4.5099923980262245e-21,400.0,262.71550664714437
Training (in-sample),reference,10.0,2017-01-04,2021-12-03,1202,167.00129013078336,1.9277776156092945,1.078579267389669,0.06430553286473885,16.772728867022494,-0.010293691790416393,0.9184692179700499,0.3737800761990763,0.3737800761990763,0.7475601523981527,0.373674980508984,0.747349961017968,0.1883851584043345,1.0,4.5099923980262245e-21,400.0,168.00129013078336
Training (in-sample),reference,20.0,2017-01-04,2021-12-03,1202,67.6644959679937,1.4270123318252192,0.8901941089853346,0.06314149531224611,14.098400815235113,-0.011775924994323228,0.8760399334442596,0.3737800761990763,0.3737800761990763,0.7475601523981527,0.373674980508984,0.747349961017968,0.376770316808669,1.0,4.5099923980262245e-21,400.0,68.6644959679937
Training (in-sample),retrain,0.0,2017-01-04,2021-12-03,1202,439.9474621389566,2.584241323030028,1.281829242252214,0.06435138187931004,19.9192185904611,-0.00608650021770718,0.9534109816971714,0.36958062637090056,0.36958062637090056,0.7391612527418011,0.36947203405314105,0.7389440681062821,0.0,1.0,-3.53583404005256e-20,400.0,440.9474621389566
Training (in-sample),retrain,5.0,2017-01-04,2021-12-03,1202,282.45536281335166,2.267118155032005,1.1886949244067473,0.0636641156775822,18.671349028497037,-0.006793055623164013,0.9409317803660566,0.36958062637090056,0.36958062637090056,0.7391612527418011,0.36947203405314105,0.7389440681062821,0.09313431784546694,1.0,-3.53583404005256e-20,400.0,283.45536281335166
Training (in-sample),retrain,10.0,2017-01-04,2021-12-03,1202,181.18220451259853,1.9779430596305252,1.0955606065612802,0.0630164612711651,17.385308290273414,-0.007499360067272254,0.9309484193011647,0.36958062637090056,0.36958062637090056,0.7391612527418011,0.36947203405314105,0.7389440681062821,0.18626863569093388,1.0,-3.53583404005256e-20,400.0,182.18220451259853
Training (in-sample),retrain,20.0,2017-01-04,2021-12-03,1202,74.21744334043288,1.4738381370681939,0.9092919708703462,0.0618448898139805,14.702782616402917,-0.008911216071441519,0.8876871880199667,0.36958062637090056,0.36958062637090056,0.7391612527418011,0.36947203405314105,0.7389440681062821,0.37253727138186776,1.0,-3.53583404005256e-20,400.0,75.21744334043288
Supplemental (OOS proxy),reference,0.0,2021-12-06,2022-06-24,135,-0.03234763802060603,-0.059534632675379506,-0.055498100890999574,0.10902281666943192,-0.5090503308062143,-0.08638048309962232,0.45925925925925926,0.31531124759600465,0.31531124759600465,0.6306224951920093,0.3139329733243331,0.6278659466486662,0.0,1.0,-1.6062254407192657e-20,400.0,0.967652361979394
Supplemental (OOS proxy),reference,5.0,2021-12-06,2022-06-24,135,-0.07267285096997467,-0.1313698771000481,-0.13495653528519275,0.1086958802576115,-1.2415975192927549,-0.09754125939918412,0.4148148148148148,0.31531124759600465,0.31531124759600465,0.6306224951920093,0.3139329733243331,0.6278659466486662,0.07945843439419319,1.0,-1.6062254407192657e-20,400.0,0.9273271490300253
